Distance_(pixels),Gray_Value
0,2.5014
1,2.2526
2,2.1606
3,2.1728
4,2.4244
5,2.1333
6,2.2085
7,2.3822
8,2.2836
9,2.0103
10,2.0122
11,2.2648
12,2.1981
13,2.0056
14,2.0948
15,2.1737
16,2.0009
17,1.8376
18,2.0695
19,1.9878
20,1.7606
21,1.8423
22,2.0854
23,1.9033
24,1.8056
25,1.9155
26,1.7052
27,1.4770
28,1.6685
29,1.8423
30,1.7305
31,1.4573
32,1.5399
33,1.7559
34,1.8338
35,1.7296
36,1.9099
37,1.8977
38,1.7230
39,1.5315
40,1.8610
41,1.9192
42,1.7746
43,1.7587
44,1.9399
45,1.7324
46,1.6732
47,1.9746
48,1.9549
49,1.8038
50,1.6601
51,1.9127
52,1.8798
53,1.5615
54,1.7850
55,2.1023
56,1.8930
57,1.8911
58,2.1061
59,2.1023
60,1.8451
61,1.7042
62,2.0723
63,2.2582
64,2.0366
65,2.1859
66,2.3155
67,1.9155
68,1.9709
69,2.3202
70,2.3192
71,1.8516
72,1.5793
73,2.1371
74,2.2451
75,1.9249
76,2.1624
77,2.1878
78,1.9812
79,1.8845
80,2.2592
81,2.2648
82,1.8901
83,2.0066
84,2.4460
85,2.3418
86,2.0300
87,2.3700
88,2.3202
89,1.9887
90,1.9878
91,2.3596
92,2.4545
93,2.2394
94,2.2667
95,2.5540
96,2.5643
97,2.3474
98,2.7850
99,2.7577
100,2.3286
101,2.2873
102,2.6469
103,2.5700
104,2.4197
105,2.1005
106,2.6685
107,2.3587
108,2.3089
109,2.7803
110,2.8047
111,2.4883
112,2.2150
113,2.5465
114,2.5211
115,1.9756
116,2.1296
117,2.5981
118,2.0995
119,2.0798
120,2.5615
121,2.9493
122,2.4883
123,2.2075
124,2.6469
125,2.7775
126,2.3850
127,2.1408
128,2.6282
129,2.2150
130,2.0507
131,2.5906
132,2.4854
133,1.8545
134,2.3737
135,2.8263
136,2.8263
137,2.5568
138,2.9192
139,2.7061
140,2.2451
141,2.5268
142,2.8085
143,2.7615
144,2.4516
145,2.5700
146,2.9559
147,2.9577
148,2.4817
149,2.7052
150,2.8347
151,2.5756
152,2.6300
153,3.1653
154,3.1643
155,2.6657
156,2.7052
157,3.2563
158,3.3249
159,2.7005
160,3.2423
161,3.2460
162,2.5915
163,2.4986
164,3.0479
165,3.1052
166,2.7446
167,2.5962
168,3.0404
169,2.7286
170,3.1362
171,3.4958
172,3.3634
173,2.9202
174,2.6967
175,3.1408
176,3.1399
177,2.7596
178,2.9906
179,3.4150
180,2.7746
181,2.9465
182,3.2958
183,3.2141
184,2.7596
185,2.7117
186,3.0986
187,3.1568
188,2.5493
189,2.5052
190,3.2582
191,2.6836
192,2.4901
193,3.0216
194,3.1925
195,2.6000
196,2.8122
197,3.2460
198,2.9793
199,2.4451
200,3.1596
201,3.1427
202,2.5427
203,2.7362
204,3.1831
205,3.0300
206,2.6507
207,2.5362
208,3.2667
209,3.3596
210,2.5493
211,3.1305
212,2.9962
213,2.4732
214,2.5906
215,3.2808
216,3.1643
217,2.6075
218,2.3681
219,2.9258
220,2.8817
221,2.5352
222,2.9784
223,2.9700
224,2.5624
225,2.5230
226,3.2469
227,3.1484
228,2.7399
229,2.6376
230,3.2056
231,2.2845
232,2.6601
233,3.0676
234,3.0573
235,2.5155
236,2.4695
237,3.0150
238,2.8704
239,2.2789
240,2.3305
241,2.8826
242,2.2507
243,2.4122
244,2.8977
245,2.7991
246,2.2178
247,2.1343
248,2.7906
249,2.7549
250,1.9371
251,1.7277
252,2.4413
253,1.9277
254,1.8958
255,2.3268
256,2.2601
257,1.5146
258,1.7540
259,2.2695
260,2.0638
261,1.5559
262,1.9127
263,1.5512
264,1.2113
265,1.4685
266,1.7624
267,1.6676
268,1.4789
269,1.3033
270,1.7296
271,1.6047
272,1.3221
273,1.6808
274,1.6601
275,1.2817
276,1.1089
277,1.3296
278,1.4545
279,1.3164
280,1.1014
281,1.4357
282,1.3944
283,1.1709
284,1.3944
285,1.2901
286,1.0967
287,1.2394
288,1.3784
289,1.3333
290,1.0648
291,1.3164
292,1.3765
293,1.2066
294,1.1596
295,1.3859
296,1.4751
297,1.2911
298,1.3239
299,1.3315
300,1.2075
301,1.1380
302,1.1643
303,1.4742
304,1.2742
305,1.2714
306,1.3427
307,1.3746
308,1.1324
309,1.1869
310,1.3052
311,1.2854
312,1.1690
313,1.3136
314,1.3859
315,1.2207
316,1.1953
317,1.3991
318,1.5737
319,1.3099
320,1.3446
321,1.5268
322,1.4113
323,1.0169
324,1.2535
325,1.1671
326,0.9343
327,1.0535
328,1.3559
329,1.3925
330,1.0939
331,1.0545
332,1.2629
333,1.2254
334,1.0939
335,1.1577
336,1.2948
337,0.9070
338,0.8357
339,1.0028
340,1.0977
341,0.9568
342,1.0986
343,1.1484
344,1.2131
345,1.0094
346,1.1221
347,1.1897
348,0.9192
349,0.9042
350,1.1878
351,1.2338
352,0.9268
353,0.9146
354,1.1681
355,0.9793
356,0.9700
357,1.2178
358,1.1286
359,1.0310
360,1.0103
361,1.1596
362,1.1164
363,0.9117
364,0.8667
365,0.9681
366,0.8047
367,0.9249
368,0.9249
369,0.8009
370,0.6930
371,0.7305
372,0.9136
373,0.8911
374,0.6207
375,0.7099
376,0.8498
377,0.6911
378,0.7474
379,0.7784
380,0.9418
381,0.7822
382,0.7925
383,0.7972
384,0.8479
385,0.6563
386,0.7362
387,0.7981
388,0.6883
389,0.6638
390,0.7070
391,0.8451
392,0.7512
393,0.7577
394,0.7681
395,0.8995
396,0.8657
397,0.8347
398,0.8535
399,0.7286
400,0.7925
401,0.8216
402,0.8028
403,0.6995
404,0.7906
405,0.7765
406,0.8582
407,0.7700
408,0.7380
409,0.7803
410,0.6892
411,0.6789
412,0.7023
413,0.6930
414,0.6094
415,0.6103
416,0.6122
417,0.5014
