Distance_(pixels),Gray_Value
0,0.0000
1,0.0245
2,0.0245
3,0.0301
4,0.0791
5,0.0979
6,0.1102
7,0.0612
8,0.0245
9,0.1469
10,0.1714
11,0.0490
12,0.0490
13,0.0245
14,0.0245
15,0.0000
16,0.0245
17,0.0734
18,0.0490
19,0.0612
20,0.1083
21,0.0490
22,0.0245
23,0.0979
24,0.0734
25,0.0000
26,0.0245
27,0.0979
28,0.0979
29,0.0245
30,0.0546
31,0.0791
32,0.0546
33,0.0612
34,0.0857
35,0.0734
36,0.0490
37,0.1036
38,0.2015
39,0.2815
40,0.1714
41,0.0245
42,0.1714
43,0.1469
44,0.0734
45,0.1714
46,0.2326
47,0.1224
48,0.0000
49,0.0245
50,0.0857
51,0.0612
52,0.1591
53,0.1469
54,0.0490
55,0.0734
56,0.1469
57,0.1714
58,0.0979
59,0.0490
60,0.0490
61,0.1337
62,0.1328
63,0.1704
64,0.1224
65,0.0734
66,0.0612
67,0.1591
68,0.1469
69,0.0490
70,0.0979
71,0.1469
72,0.0490
73,0.0000
74,0.0490
75,0.2119
76,0.1751
77,0.1714
78,0.2693
79,0.1224
80,0.0245
81,0.1102
82,0.1836
83,0.0734
84,0.0979
85,0.2203
86,0.2081
87,0.1158
88,0.1648
89,0.3672
90,0.3917
91,0.1714
92,0.0979
93,0.1959
94,0.0979
95,0.1224
96,0.3672
97,0.4040
98,0.1591
99,0.2571
100,0.4652
101,0.3917
102,0.2081
103,0.2448
104,0.3672
105,0.1224
106,0.2524
107,0.2938
108,0.2326
109,0.1836
110,0.3427
111,0.5744
112,0.5141
113,0.2938
114,0.5264
115,0.5075
116,0.2994
117,0.3550
118,0.5876
119,0.6243
120,0.3917
121,0.2815
122,0.6121
123,0.7834
124,0.5508
125,0.8202
126,0.6977
127,0.4529
128,0.5141
129,0.9548
130,0.6977
131,0.2693
132,0.6121
133,1.1262
134,1.1139
135,0.6488
136,1.0895
137,0.9058
138,0.3917
139,0.4162
140,0.9303
141,1.0772
142,0.6121
143,0.5264
144,1.1996
145,0.8569
146,0.5998
147,1.0405
148,0.7825
149,0.2928
150,0.4284
151,1.0772
152,1.1139
153,0.4642
154,0.6855
155,1.2119
156,0.6855
157,0.7957
158,1.4689
159,1.2608
160,0.5876
161,0.8202
162,1.1262
163,1.0038
164,0.6610
165,0.5998
166,1.0405
167,0.5264
168,0.8814
169,1.7015
170,1.5669
171,0.7467
172,0.6959
173,1.0518
174,0.9774
175,0.6102
176,1.2354
177,1.4501
178,0.9115
179,1.0753
180,1.5772
181,1.5038
182,0.8804
183,0.9539
184,1.6036
185,1.4011
186,0.7335
187,1.8173
188,1.9200
189,0.9520
190,1.0763
191,1.8456
192,1.7618
193,1.0405
194,1.2731
195,1.9831
196,1.7467
