Distance_(pixels),Gray_Value
0,0.9591
1,0.3938
2,0.5040
3,0.9858
4,1.2738
5,0.8382
6,0.8231
7,1.3351
8,1.1742
9,0.5387
10,0.8844
11,0.8311
12,0.4462
13,0.5991
14,0.8596
15,0.8462
16,0.5804
17,0.6400
18,1.1573
19,0.6329
20,0.6880
21,1.1671
22,1.0693
23,0.5440
24,0.7982
25,1.1609
26,1.3396
27,0.7493
28,0.5600
29,1.1796
30,0.7920
31,0.6924
32,1.3440
33,1.1076
34,0.4187
35,0.7200
36,1.1120
37,1.2533
38,0.6951
39,0.7200
40,1.3360
41,0.8053
42,0.7724
43,1.5022
44,1.4756
45,0.6631
46,0.7396
47,1.1609
48,1.1876
49,0.7582
50,1.5351
51,1.4693
52,0.6969
53,0.5253
54,1.2569
55,1.3964
56,0.6853
57,0.5929
58,1.4187
59,1.7164
60,0.9209
61,1.7209
62,1.5369
63,0.7804
64,0.7289
65,1.3147
66,1.2658
67,0.6489
68,0.7796
69,0.9813
70,1.2738
71,1.1582
72,1.5360
73,1.0960
74,0.6622
75,0.7324
76,1.0764
77,1.1262
78,0.8524
79,0.6400
80,1.2293
81,0.7573
82,0.8160
83,1.3076
84,1.2720
85,0.6622
86,0.4187
87,0.9920
88,1.3173
89,0.7822
90,0.6391
91,1.2356
92,0.8453
93,0.8756
94,1.4053
95,1.3520
96,0.8018
97,0.6924
98,1.3707
99,1.6782
100,0.9636
101,0.7564
102,1.3431
103,0.8844
104,0.7004
105,1.2142
106,1.3564
107,0.9182
108,0.7644
109,1.3973
110,1.5831
111,1.0658
112,1.6924
113,1.6116
114,1.0302
115,1.1031
116,1.7929
117,1.5600
118,0.9564
119,0.8498
120,1.6916
121,1.9529
122,1.2613
123,1.8409
124,1.8782
125,1.2089
126,1.0916
127,1.8124
128,1.5662
129,0.6720
130,1.1351
131,1.6631
132,1.7653
133,1.2409
134,1.9787
135,1.4800
136,0.6969
137,0.8098
138,1.4373
139,1.5040
140,0.8000
141,1.3662
142,1.9502
143,0.9236
144,0.7422
145,1.4987
146,1.8791
147,1.1182
148,1.0676
149,1.7156
150,1.7547
151,0.9476
152,1.1858
153,2.0916
154,1.2160
155,1.0062
156,1.8320
157,1.7733
158,1.0036
159,1.1644
160,1.6151
161,1.5831
162,0.9822
163,1.2249
164,1.7831
165,0.7209
166,0.9627
167,1.7164
168,1.8880
169,1.0871
170,0.9556
171,1.4640
172,1.1093
173,0.5262
174,1.4409
175,1.8844
176,1.1467
177,1.2098
178,1.7067
179,1.3973
180,0.8409
181,1.4844
182,2.2133
183,1.9262
184,0.9076
185,1.6560
186,1.9742
187,1.1849
188,0.8373
189,1.5804
190,1.6258
191,0.8844
192,1.1698
193,1.6987
194,1.5973
195,1.0284
196,1.5964
197,1.5387
198,0.9644
199,0.8898
200,1.5902
201,1.9236
202,1.3449
203,0.9902
204,1.9396
205,1.2996
206,1.1031
207,1.8178
208,1.7360
209,1.0311
210,1.1493
211,1.6996
212,1.7289
213,1.1093
214,1.0062
215,1.7867
216,1.1556
217,0.8631
218,1.6160
219,1.9013
220,1.2000
221,0.9867
222,1.8640
223,1.8027
224,1.1013
225,0.9360
226,1.6489
227,1.0044
228,1.0711
229,1.8533
230,1.8400
231,1.0409
232,1.2542
233,1.9600
234,1.9342
235,1.2204
236,1.7982
237,1.5467
238,0.8658
239,0.8738
240,1.3778
241,1.4027
242,0.8613
243,0.6809
244,1.3280
245,1.4551
246,0.8596
247,1.5200
248,1.4729
249,0.7956
250,0.6658
251,1.4329
252,1.8187
253,1.0791
254,0.8284
255,1.4836
256,1.5022
257,0.7760
258,1.6124
259,1.7938
260,0.9396
261,1.0560
262,1.7253
263,1.6907
264,0.9556
265,0.7609
266,1.5991
267,1.0924
268,0.9164
269,1.4578
270,1.2329
271,0.6151
272,0.8062
273,1.5760
274,1.8267
275,1.1591
276,0.8551
277,1.4471
278,0.7813
279,0.6347
280,1.4204
281,1.7618
282,1.1040
283,0.6498
284,1.5209
285,1.9876
286,1.1689
287,0.8267
288,1.3911
289,0.9013
290,0.7778
291,1.2293
292,1.3262
293,0.9538
294,1.1307
295,1.6542
296,1.4569
297,0.8747
298,1.9022
299,2.3387
300,1.4524
301,1.2302
302,1.8622
303,1.7724
304,1.1084
305,0.9840
306,1.7929
307,1.6213
308,0.6978
309,1.2569
310,1.2951
311,0.7858
312,0.9200
313,1.9813
314,1.9084
315,0.8960
316,0.9529
317,1.6018
318,1.4631
319,0.9307
320,1.6151
321,1.7902
322,1.0462
323,1.2027
324,1.9307
325,1.5831
326,0.7040
327,0.8053
328,1.6231
329,1.0907
330,0.9253
331,1.8436
332,1.8569
333,1.0409
334,0.9609
335,1.6320
336,1.7804
337,1.2409
338,1.0782
339,2.0178
340,1.2613
341,0.9004
342,1.7084
343,1.9147
344,1.0320
345,1.2116
346,2.0596
347,1.6302
348,0.9778
349,1.0169
350,1.8862
351,1.1271
352,0.8320
353,1.8782
354,2.0107
355,1.1138
356,0.5004
357,1.4107
358,1.7342
359,0.9004
360,1.7111
361,1.5769
362,0.7209
363,1.0987
364,1.6204
365,1.7120
366,1.2036
367,0.8489
368,1.5591
369,1.5156
370,0.8622
371,1.6756
372,1.5778
373,0.9253
374,1.1778
375,2.2702
376,1.9076
377,0.7093
378,1.0693
379,1.7067
380,1.8560
381,1.1929
382,1.8382
383,1.8311
384,1.2204
385,1.3689
386,1.9556
387,1.5991
388,0.8702
389,0.7289
390,1.7529
391,1.3733
392,1.0347
393,1.7289
394,1.8862
395,1.1787
396,1.1751
397,1.7013
398,1.8436
399,1.2204
400,1.2747
401,2.0142
402,1.2036
403,0.9769
404,2.0436
405,2.0622
406,1.2596
407,0.8978
408,1.6471
409,1.7796
410,1.0827
411,1.1431
412,1.9484
413,1.2418
414,1.1609
415,1.7911
416,1.6587
417,0.8836
418,0.8916
419,1.6249
420,1.5982
421,0.7316
422,1.4009
423,1.9867
424,1.4409
425,0.8356
426,1.3618
427,1.8400
428,1.2987
429,1.0329
430,2.2364
431,2.2338
432,1.2809
433,2.0853
434,2.0933
435,1.1618
436,1.0142
437,1.9982
438,2.0178
439,1.0853
440,1.1440
441,1.6098
442,1.6053
443,1.1502
444,1.8240
445,1.9200
446,1.2507
447,1.2604
448,2.0133
449,1.7120
450,0.9209
451,1.5831
452,2.1004
453,0.8649
454,1.5236
455,2.4338
456,2.3422
457,1.3929
458,1.1520
459,1.9218
460,1.8498
461,0.8604
462,1.2578
463,1.9556
464,1.1298
465,1.1547
466,1.9724
467,2.1920
468,1.5156
469,1.2427
470,2.1191
471,1.9271
472,0.9956
473,1.1876
474,1.9964
475,1.2187
476,1.0524
477,1.9644
478,2.2222
479,1.2871
480,1.2649
481,2.0667
482,2.3084
483,1.5120
484,2.0889
485,2.1742
486,1.5156
487,1.3627
488,2.3947
489,2.5013
490,1.5493
491,1.6951
492,2.5760
493,2.0791
494,1.2258
495,2.2107
496,2.4907
497,1.5209
498,1.2969
499,2.2587
500,2.0338
501,1.2773
502,1.4267
503,2.1698
504,2.0764
505,1.1929
506,2.0667
507,2.1004
508,1.3200
509,1.5662
510,2.2880
511,2.4418
512,1.7582
513,1.4480
514,2.4827
515,1.7822
516,1.4231
517,2.2418
518,2.1449
519,1.3298
520,1.8542
521,2.4222
522,2.4133
523,1.7458
524,1.5520
525,2.3938
526,1.4684
527,1.5644
528,2.8213
529,2.8400
530,1.5582
531,1.2338
532,2.1707
533,2.1707
534,1.3156
535,1.9591
536,2.6036
537,1.2453
538,1.4738
539,2.2907
540,2.5982
541,1.7120
542,1.9271
543,2.4844
544,2.4631
545,1.7538
546,2.7467
547,2.9760
548,2.1680
549,1.3680
550,2.7156
551,3.1716
552,2.3840
553,2.2240
554,2.9991
555,2.4924
556,1.6836
557,2.6231
558,2.5458
559,1.7547
560,2.1804
561,3.1102
562,2.9547
563,1.8933
564,1.8800
565,3.0613
566,3.0702
567,2.0569
568,2.9031
569,3.2516
570,2.5671
571,2.0444
572,3.0524
573,3.1004
574,2.0578
575,2.1698
576,2.9760
577,2.0809
578,2.3449
579,2.7938
580,2.8178
581,2.2658
582,1.8827
583,2.9004
584,3.0898
585,2.0222
586,2.2791
587,2.8898
588,2.0116
589,2.1911
590,2.7929
591,3.2907
592,2.6071
593,1.9964
594,2.7858
595,3.1253
596,2.5298
597,2.1262
598,2.9511
599,2.2889
600,2.0124
601,2.6018
602,2.9547
603,2.6231
604,1.9840
605,2.7787
606,3.1040
607,2.7484
608,3.3004
609,3.0773
610,2.1973
611,2.0604
612,2.9236
613,2.7884
614,2.0364
615,2.5049
616,2.9689
617,2.9413
618,2.2080
619,2.8311
620,2.8427
621,2.1476
622,2.2240
623,2.8693
624,3.0418
625,2.3636
626,2.4062
627,3.0053
628,2.9653
629,2.4693
630,2.6080
631,2.5511
632,1.9982
633,2.1360
634,2.6258
