Distance_(pixels),Gray_Value
0,6.6912
1,6.7010
2,6.6765
3,6.6912
4,6.6863
5,6.6912
6,6.6961
7,6.7108
8,6.7010
9,6.6912
10,6.6912
11,6.6961
12,6.6961
13,6.6814
14,6.7108
15,6.6961
16,6.6814
17,6.6961
18,6.7010
19,6.6814
20,6.7451
21,6.7304
22,6.7304
23,6.7059
24,6.7157
25,6.7059
26,6.7108
27,6.7304
28,6.7010
29,6.6912
30,6.6961
31,6.7353
32,6.7059
33,6.7010
34,6.7500
35,6.6961
36,6.7304
37,6.7059
38,6.7402
39,6.7255
40,6.7108
41,6.7206
42,6.7206
43,6.7353
44,6.7843
45,6.7794
46,6.7157
47,6.7353
48,6.7745
49,6.7696
50,6.7500
51,6.7353
52,6.7402
53,6.7010
54,6.7108
55,6.7990
56,6.7598
57,6.7206
58,6.7990
59,6.8137
60,6.7451
61,6.7990
62,6.7598
63,6.7549
64,6.7255
65,6.7598
66,6.7500
67,6.8039
68,6.8088
69,6.7598
70,6.7353
71,6.7549
72,6.7843
73,6.8039
74,6.8725
75,6.7990
76,6.7990
77,6.8480
78,6.8578
79,6.8186
80,6.8235
81,6.8088
82,6.8235
83,6.8137
84,6.9118
85,6.8922
86,6.8676
87,6.8480
88,6.8039
89,6.8186
90,6.8971
91,6.8382
92,6.9020
93,6.9069
94,6.8922
95,6.9314
96,6.9265
97,7.0049
98,6.8725
99,6.8431
100,6.9216
101,7.0392
102,6.9069
103,6.8824
104,7.0049
105,6.9314
106,6.9608
107,6.9853
108,7.0490
109,7.0784
110,6.9608
111,7.0000
112,7.1373
113,7.0147
114,7.0833
115,7.1078
116,7.1422
117,7.1618
118,7.2255
119,7.0882
120,7.1127
121,7.1716
122,7.1667
123,7.1471
124,7.2010
125,7.1667
126,7.2598
127,7.2843
128,7.1569
129,7.1716
130,7.1667
131,7.3039
132,7.2892
133,7.2598
134,7.3971
135,7.2892
136,7.3284
137,7.4804
138,7.3284
139,7.3015
140,7.3456
141,7.3578
142,7.4657
143,7.3897
144,7.3848
145,7.4020
146,7.4118
147,7.4608
148,7.4118
149,7.4559
150,7.4853
151,7.5196
152,7.6127
153,7.4657
154,7.5931
155,7.5784
156,7.5343
157,7.5490
158,7.6103
159,7.5784
160,7.6275
161,7.5625
162,7.5711
163,7.5931
164,7.5098
165,7.5662
166,7.5294
167,7.6275
168,7.6667
169,7.6777
170,7.5723
171,7.5478
172,7.6324
173,7.5858
174,7.5453
175,7.5086
176,7.5306
177,7.4828
178,7.4485
179,7.3554
180,7.5797
181,7.5784
182,7.3909
183,7.5490
184,7.4338
185,7.4779
186,7.5686
187,7.4816
188,7.3775
189,7.3223
190,7.3725
191,7.4228
192,7.4130
193,7.3566
194,7.2549
195,7.1887
196,7.2145
197,7.3493
198,7.3456
199,7.2316
200,7.1949
201,7.2426
202,7.1336
203,7.2230
204,7.2243
205,7.2059
206,7.1912
207,7.1225
208,7.1765
209,7.3934
210,7.1703
211,7.2623
212,7.0895
213,7.0135
214,7.0907
215,7.5233
216,7.4877
217,7.1985
218,6.8456
219,6.9951
220,7.3064
221,7.1912
222,7.2953
223,6.9816
224,7.0944
225,7.1838
226,7.4939
227,7.4093
228,7.4975
229,6.9767
230,7.1777
231,7.4914
232,8.0735
233,8.0037
234,8.1863
235,7.8444
236,8.0919
237,8.2451
238,8.4730
239,8.6103
240,8.6495
241,8.6679
242,8.9559
243,9.5172
244,10.0907
245,10.5478
246,11.1765
247,11.2230
248,11.5527
249,12.2328
250,13.1654
251,13.9350
252,14.5821
253,14.5625
254,15.3248
255,15.8064
256,16.5404
257,16.4559
258,17.1434
259,16.8333
260,17.0417
261,17.2353
262,17.7316
263,17.9522
264,17.8873
265,18.0748
266,18.0429
267,18.3235
268,18.6483
269,18.8689
270,18.3542
271,18.7794
272,18.7181
273,19.0686
274,19.2218
275,19.1765
276,18.7586
277,19.0404
278,19.5294
279,19.9681
280,19.6483
281,19.5772
282,19.3640
283,19.0919
284,18.7120
285,19.1164
286,19.1495
287,19.0748
288,18.5196
289,18.3125
290,18.1078
291,18.2672
292,18.1360
293,17.6348
294,16.9240
295,16.4081
296,16.0846
297,16.2610
298,15.7451
299,15.5000
300,15.2132
301,14.8186
302,14.3762
303,14.5919
304,14.3725
305,14.4363
306,13.9130
307,13.7598
308,14.1875
309,13.5993
310,13.1483
311,12.8897
312,12.7561
313,12.1324
314,12.6397
315,12.5098
316,12.3297
317,11.9657
318,11.5061
319,11.2623
320,11.7047
321,11.3750
322,11.1863
323,10.9608
324,10.6458
325,10.5821
326,10.9252
327,10.5490
328,10.7279
329,10.1042
330,9.8370
331,9.4412
332,9.9559
333,9.6213
334,9.5772
335,9.2868
336,8.9436
337,8.9363
338,9.2941
339,9.3811
340,9.5944
341,9.2059
342,9.0343
343,9.1716
344,9.3358
345,9.2561
346,9.1581
347,8.8603
348,8.7463
349,9.0441
350,9.3223
351,9.3824
352,9.0135
353,8.9020
354,8.9779
355,9.3235
356,9.4902
357,9.5895
358,9.0772
359,9.1985
360,9.3051
361,9.7451
362,9.9142
363,10.1728
364,9.4547
365,9.4314
366,9.3701
367,10.2071
368,10.3431
369,11.0159
370,10.8284
371,10.8909
372,10.9890
373,12.2120
374,12.9424
375,13.4755
376,12.9902
377,13.5833
378,14.1949
379,15.5233
380,16.5674
381,17.3701
382,17.1422
383,18.0098
384,18.8248
385,20.0895
386,21.1973
387,22.1801
388,21.9902
389,22.9032
390,23.4056
391,24.2463
392,24.7292
393,24.5355
394,24.7672
395,25.3689
396,25.9461
397,26.2426
398,26.6998
399,26.6127
400,26.6593
401,26.8652
402,27.3297
403,27.4216
404,27.5821
405,27.3652
406,27.3750
407,27.5797
408,28.1152
409,28.2377
410,28.3897
411,28.1029
412,28.1422
413,27.9571
414,28.3971
415,28.2672
416,28.1654
417,27.7917
418,27.5221
419,27.5306
420,27.7439
421,27.3971
422,26.9522
423,26.4694
424,25.9718
425,25.3260
426,25.5061
427,24.9449
428,24.1924
429,23.4902
430,22.4179
431,21.5392
432,21.8934
433,21.4252
434,20.8897
435,20.4228
436,19.6299
437,20.0257
438,19.4387
439,18.9510
440,18.1569
441,17.7598
442,17.5135
443,18.0257
444,17.5270
445,17.1078
446,16.4130
447,16.0306
448,15.2696
449,15.7586
450,15.5110
451,15.1728
452,14.2892
453,13.9804
454,13.6054
455,14.0515
456,13.3713
457,12.8088
458,11.9681
459,12.0502
460,11.1838
461,11.9363
462,11.8591
463,11.6189
464,10.4461
465,10.1887
466,10.2047
467,10.5870
468,10.4118
469,10.1471
470,9.4620
471,9.2892
472,9.2745
473,9.8419
474,9.5306
475,9.3468
476,8.7953
477,8.6667
478,8.2708
479,9.0797
480,8.8517
481,7.8358
482,7.8860
483,7.6029
484,8.6887
485,8.8922
486,8.7610
487,7.8125
488,8.1311
489,7.8578
490,8.3934
491,7.9400
492,8.0245
493,7.7071
494,7.9583
495,7.5012
496,8.0882
497,7.8934
498,7.8211
499,7.3860
500,7.4828
501,7.6262
502,8.2610
503,8.3775
504,8.5294
505,7.7696
506,7.7341
507,7.5429
508,8.4007
509,8.5037
510,8.1998
511,7.5012
512,7.6654
513,7.6556
514,8.1299
515,8.1397
516,8.0576
517,7.7022
518,7.6605
519,7.3493
520,7.6875
521,7.5478
522,7.5588
523,7.4914
524,7.6176
525,7.7537
526,7.7377
527,7.8578
528,7.5000
529,7.4877
530,7.3566
531,7.8542
532,7.9988
533,7.8248
534,7.5625
535,7.7169
536,7.7096
537,7.9252
538,7.8529
539,7.7574
540,7.6409
541,7.6850
542,7.7157
543,7.8162
544,7.7218
545,7.7194
546,7.5748
547,7.6115
548,7.7328
549,7.8088
550,7.8652
551,7.8088
552,7.6728
553,7.5821
554,7.6728
555,7.6495
556,7.7010
557,7.6985
558,7.6348
559,7.6679
560,7.6324
561,7.6017
562,7.6127
563,7.5809
564,7.5686
565,7.5980
566,7.6605
567,7.6054
568,7.5588
569,7.5331
570,7.6066
571,7.5760
572,7.7267
573,7.5784
574,7.5478
575,7.5123
576,7.6936
577,7.5147
578,7.5588
579,7.4436
580,7.4657
581,7.4730
582,7.5564
583,7.4755
584,7.5270
585,7.5049
586,7.5074
587,7.3848
588,7.3578
589,7.6213
590,7.5392
591,7.4461
592,7.3750
593,7.4118
594,7.5245
595,7.3431
596,7.4485
597,7.3529
598,7.4289
599,7.4265
600,7.3260
601,7.3627
602,7.3848
603,7.4142
604,7.3958
605,7.3738
606,7.2892
607,7.4363
608,7.4167
609,7.2451
610,7.2745
611,7.2059
612,7.3578
613,7.3578
614,7.2500
615,7.2181
616,7.2525
617,7.1176
618,7.1716
619,7.2206
620,7.1348
621,7.1593
622,7.1397
623,7.0980
624,7.1225
625,7.0490
626,7.1912
627,7.0882
628,7.1029
629,7.1691
630,7.0931
631,7.1348
632,7.0662
633,6.9902
634,6.8922
635,7.0049
636,7.0074
637,7.0515
638,7.0539
639,6.9461
640,7.0441
641,7.0049
642,6.9804
643,6.9951
644,7.0000
645,6.9461
646,6.9755
647,7.0294
648,6.9951
649,7.0343
650,6.8873
651,6.9265
652,6.9755
653,6.8824
654,6.8873
655,6.9020
656,6.9657
657,6.9608
658,6.9461
659,6.9069
660,6.9314
661,6.9167
662,6.8529
663,6.9412
664,6.8603
665,6.8529
666,6.8578
667,6.9314
668,6.8382
669,6.8676
670,6.7990
671,6.8137
672,6.8529
673,6.8284
674,6.9314
675,6.9167
676,6.8578
677,6.7990
678,6.8578
679,6.8382
680,6.7941
681,6.7990
682,6.8824
683,6.7892
684,6.8186
685,6.7647
686,6.7549
687,6.7451
688,6.7451
689,6.7157
690,6.7010
691,6.7500
692,6.7941
693,6.8113
694,6.7328
695,6.7598
696,6.7892
697,6.8137
698,6.8235
699,6.7549
700,6.7598
701,6.7843
702,6.7402
703,6.7794
704,6.7304
705,6.7353
706,6.7255
707,6.7108
708,6.7892
