Distance_(pixels),Gray_Value
0,6.6667
1,6.6667
2,6.6667
3,6.6667
4,6.6667
5,6.6667
6,6.6667
7,6.6667
8,6.6667
9,6.6667
10,6.6667
11,6.6667
12,6.6667
13,6.6667
14,6.6667
15,6.6667
16,6.6667
17,6.6667
18,6.7879
19,6.6667
20,6.6667
21,6.6667
22,6.6667
23,6.6667
24,6.6667
25,6.6667
26,6.6667
27,6.7273
28,6.6667
29,6.6667
30,6.6667
31,6.6667
32,6.6667
33,6.6667
34,6.9091
35,6.9091
36,6.6667
37,6.6667
38,6.6667
39,6.6667
40,6.6667
41,6.7273
42,6.7273
43,6.6667
44,6.6667
45,6.6667
46,6.8485
47,6.7273
48,6.6667
49,6.7273
50,6.8485
51,6.7273
52,6.6667
53,6.6667
54,6.6667
55,6.7273
56,6.9091
57,6.6667
58,6.7273
59,6.7273
60,6.7273
61,6.7273
62,6.6667
63,6.6667
64,6.6667
65,6.7273
66,6.7879
67,6.7273
68,6.6667
69,6.6667
70,6.6667
71,6.6667
72,6.7879
73,6.6667
74,6.6667
75,6.7273
76,6.7879
77,6.6667
78,6.6667
79,6.6667
80,6.6667
81,6.7879
82,6.6667
83,6.6667
84,6.6667
85,6.6667
86,6.7879
87,6.6667
88,6.6667
89,6.7879
90,6.7879
91,6.7273
92,6.7879
93,6.6667
94,6.7879
95,6.6667
96,6.7879
97,6.7879
98,6.7879
99,6.6667
100,6.6667
101,6.6667
102,6.9697
103,6.8485
104,6.7273
105,6.6667
106,6.6667
107,6.8485
108,6.7879
109,6.6667
110,6.6667
111,6.7273
112,6.8485
113,6.9091
114,6.9091
115,6.7879
116,6.9091
117,6.9697
118,6.6667
119,6.7273
120,6.7879
121,6.7879
122,6.7273
123,6.9091
124,6.7273
125,6.7879
126,6.9091
127,6.8485
128,6.8485
129,7.0303
130,6.8485
131,7.0303
132,6.9091
133,6.7273
134,6.8485
135,6.7273
136,7.0303
137,6.7273
138,6.8485
139,6.8485
140,7.0909
141,6.8485
142,7.1515
143,7.2727
144,7.2727
145,7.0303
146,7.0909
147,6.7273
148,7.2727
149,6.9697
150,7.0303
151,6.9697
152,6.9091
153,6.9091
154,6.9091
155,6.9697
156,6.7879
157,6.9697
158,7.0303
159,7.2121
160,6.8485
161,6.7879
162,6.9697
163,7.1515
164,7.2727
165,7.0303
166,6.9697
167,6.9091
168,6.9091
169,7.1515
170,7.3939
171,6.9697
172,6.9697
173,7.0909
174,7.2727
175,7.3333
176,7.2727
177,6.9697
178,7.3333
179,7.3939
180,7.3333
181,7.0909
182,6.9697
183,7.2121
184,7.2121
185,7.4545
186,7.3333
187,7.1515
188,7.1515
189,7.3333
190,7.3939
191,7.3333
192,7.3939
193,7.2727
194,7.1515
195,7.5758
196,7.2727
197,7.5152
198,7.3333
199,7.3939
200,7.7576
201,7.7576
202,7.5152
203,7.6970
204,7.5152
205,7.5758
206,7.4545
207,7.6970
208,7.6970
209,7.4545
210,7.6970
211,7.4545
212,7.4545
213,7.5152
214,7.4545
215,7.5152
216,7.6970
217,7.6970
218,7.8182
219,8.0455
220,7.6364
221,7.3939
222,7.5758
223,7.4545
224,7.6364
225,7.3939
226,7.7576
227,7.6364
228,7.2727
229,7.5152
230,7.8788
231,7.3939
232,7.9697
233,7.6667
234,7.5758
235,7.3333
236,7.3788
237,7.0758
238,7.5909
239,7.5000
240,7.0909
241,7.0909
242,7.2121
243,7.0758
244,7.3333
245,7.3939
246,7.3333
247,7.1818
248,7.2121
249,7.4848
250,7.7273
251,7.3636
252,7.0303
253,6.8939
254,7.1970
255,7.2424
256,7.4394
257,6.9091
258,7.0758
259,7.1667
260,7.0000
261,7.6061
262,7.5000
263,6.9545
264,7.1515
265,6.6515
266,7.0303
267,6.7727
268,6.8030
269,6.8030
270,6.8333
271,7.2576
272,6.7727
273,7.5758
274,8.0909
275,7.6061
276,6.8333
277,6.8788
278,6.8333
279,6.8182
280,7.3030
281,7.2273
282,7.1515
283,7.1515
284,7.4394
285,7.9697
286,7.7121
287,6.5303
288,7.4091
289,7.2727
290,7.8030
291,7.3333
292,7.5152
293,7.4242
294,7.6515
295,7.4545
296,7.7424
297,8.2727
298,8.5000
299,8.1061
300,8.6515
301,8.9091
302,9.3333
303,9.3182
304,10.2879
305,10.0606
306,9.9242
307,10.1515
308,11.7273
309,12.8333
310,12.7576
311,13.1818
312,14.2576
313,14.8333
314,15.8939
315,15.8333
316,16.8182
317,17.1818
318,17.4697
319,17.1212
320,18.0152
321,18.9545
322,19.4091
323,17.9242
324,18.6212
325,18.3788
326,19.0909
327,18.8030
328,18.3485
329,19.2727
330,19.5455
331,20.1061
332,19.9697
333,19.8485
334,19.5606
335,19.6667
336,20.7879
337,21.2576
338,21.3030
339,21.1818
340,21.4848
341,20.5455
342,19.9545
343,19.6212
344,20.1970
345,20.8939
346,20.4091
347,19.7576
348,20.2576
349,19.9545
350,20.3182
351,19.8485
352,18.7424
353,18.7121
354,18.5152
355,18.3788
356,16.6970
357,17.3182
358,17.5606
359,16.2576
360,15.0303
361,15.2424
362,15.5000
363,15.0606
364,14.6061
365,14.9697
366,14.9545
367,14.3030
368,14.3939
369,14.0303
370,13.1970
371,13.6212
372,13.3788
373,12.7576
374,13.0758
375,12.8182
376,11.7576
377,11.2273
378,11.9394
379,11.8485
380,11.8636
381,11.8485
382,10.4848
383,11.0303
384,11.8182
385,11.1515
386,10.7424
387,9.7879
388,9.9848
389,9.3788
390,9.6212
391,9.9242
392,9.7576
393,9.2576
394,8.8182
395,8.7879
396,9.8182
397,9.6364
398,8.8939
399,9.0000
400,9.3333
401,9.3485
402,9.3788
403,9.8939
404,9.2273
405,9.0758
406,8.2273
407,9.5303
408,9.4242
409,8.9394
410,8.7879
411,8.6212
412,8.6364
413,9.2424
414,9.7727
415,9.8636
