Distance_(pixels),Gray_Value
0,0.8202
1,0.8441
2,1.0309
3,1.1053
4,0.9424
5,1.0393
6,1.0098
7,0.9691
8,0.8610
9,0.8764
10,1.0070
11,0.9972
12,0.8357
13,0.9803
14,1.0674
15,0.9522
16,0.8694
17,1.0225
18,1.0239
19,0.8357
20,0.9270
21,1.0098
22,1.0632
23,0.8652
24,0.9073
25,1.0702
26,0.8989
27,0.8750
28,0.9284
29,1.0983
30,0.9874
31,0.9452
32,1.0492
33,0.9944
34,0.8792
35,1.0506
36,1.0829
37,0.9874
38,1.0590
39,1.0562
40,1.0323
41,0.8638
42,0.8834
43,0.9396
44,1.0154
45,0.9185
46,0.9621
47,1.0295
48,0.8048
49,0.9059
50,0.8511
51,1.0140
52,0.9143
53,0.9228
54,0.8848
55,0.9579
56,0.8525
57,0.8174
58,0.9143
59,0.7823
60,0.8624
61,0.9157
62,1.0070
63,0.9340
64,0.8919
65,1.0154
66,0.8441
67,0.8413
68,0.9663
69,1.0070
70,0.8750
71,0.9621
72,1.0098
73,1.0913
74,1.0267
75,1.0829
76,1.1067
77,0.9944
78,1.0562
79,1.1292
80,1.0843
81,0.9326
82,1.0183
83,0.9930
84,1.0323
85,0.9565
86,0.8933
87,0.9284
88,0.7809
89,0.7626
90,0.9017
91,0.9874
92,0.7823
93,0.8287
94,0.8750
95,0.9916
96,0.8202
97,0.8329
98,0.9073
99,0.7725
100,0.9424
101,0.9298
102,0.9733
103,0.8048
104,1.0014
105,0.9003
106,0.9607
107,0.8202
108,0.8624
109,0.9719
110,0.8413
111,0.9930
112,0.9719
113,0.9930
114,0.7612
115,0.9382
116,0.9228
117,1.0197
118,0.8989
119,0.9213
120,1.1461
121,0.9916
122,1.0997
123,0.9972
124,1.1503
125,0.9087
126,0.9705
127,0.8862
128,0.7233
129,0.8736
130,0.8399
131,0.8806
132,0.6938
133,0.8596
134,0.8722
135,1.0098
136,0.8539
137,0.9761
138,0.9916
139,0.8076
140,0.9649
141,0.9888
142,1.0169
143,0.8834
144,0.9579
145,0.9803
146,1.0562
147,0.8750
148,1.0253
149,0.9733
150,0.8638
151,0.9831
152,1.0183
153,0.9958
154,0.9059
155,0.9466
156,0.8511
157,0.9284
158,0.8638
159,0.8553
160,0.9775
161,0.8006
162,1.0267
163,0.9705
164,0.9846
165,0.9354
166,1.0084
167,0.9326
168,0.9396
169,0.8750
170,0.7374
171,0.8848
172,0.8258
173,0.8427
174,0.8343
175,1.0772
176,0.9073
177,1.0000
178,0.9326
179,0.9775
180,0.8202
181,0.8343
182,0.9242
183,0.8258
184,1.0618
185,1.0084
186,1.1152
187,0.9256
188,1.0281
189,1.0225
190,0.9635
191,0.8890
192,0.9593
193,1.1236
194,0.9621
195,0.9691
196,0.9284
197,0.9930
198,0.8020
199,0.9480
200,0.9242
201,0.7711
202,0.8848
203,0.8947
204,1.0281
205,0.8202
206,0.9185
207,0.8343
208,1.0154
209,0.7500
210,0.8469
211,0.7219
212,0.6166
213,0.7416
214,0.5632
215,0.6966
216,0.5070
217,0.6587
218,0.4438
219,0.5787
220,0.5070
221,0.3890
222,0.5365
223,0.4438
224,0.6404
225,0.3975
226,0.6896
227,0.4761
228,0.6419
229,0.4284
230,0.8272
231,0.6264
232,0.4326
233,0.8750
234,0.4916
235,1.7079
236,1.4368
237,2.3076
238,1.5955
