Distance,Gray_Value
0,0.6585
1,0.7030
2,0.7231
3,0.7504
4,0.6758
5,0.6801
6,0.7834
7,0.7733
8,0.6184
9,0.6915
10,0.7561
11,0.6958
12,0.6915
13,0.7991
14,0.7647
15,0.6083
16,0.6772
17,0.7260
18,0.8149
19,0.7217
20,0.7202
21,0.7590
22,0.6341
23,0.6671
24,0.7303
25,0.8723
26,0.7202
27,0.6026
28,0.7073
29,0.7547
30,0.6714
31,0.8049
32,0.8307
33,0.6930
34,0.7059
35,0.6987
36,0.7518
37,0.6413
38,0.6901
39,0.7762
40,0.8135
41,0.6471
42,0.6270
43,0.7159
44,0.5811
45,0.7202
46,0.7102
47,0.7719
48,0.6456
49,0.6413
50,0.5882
51,0.7016
52,0.6169
53,0.6327
54,0.7059
55,0.5825
56,0.6471
57,0.6714
58,0.7891
59,0.6801
60,0.6887
61,0.7590
62,0.6011
63,0.6112
64,0.6786
65,0.6700
66,0.5610
67,0.7030
68,0.7159
69,0.7948
70,0.7030
71,0.7317
72,0.7676
73,0.7360
74,0.7245
75,0.7676
76,0.7747
77,0.6987
78,0.7776
79,0.7504
80,0.7044
81,0.6571
82,0.6370
83,0.7044
84,0.5868
85,0.6313
86,0.6973
87,0.6958
88,0.5495
89,0.6442
90,0.7188
91,0.7661
92,0.5653
93,0.5925
94,0.6901
95,0.6255
96,0.7131
97,0.6385
98,0.7202
99,0.6184
100,0.7475
101,0.6542
102,0.7217
103,0.6241
104,0.5638
105,0.6700
106,0.6141
107,0.7532
108,0.6614
109,0.7088
110,0.4950
111,0.6385
112,0.6040
113,0.6944
114,0.6040
115,0.6456
116,0.8307
117,0.6399
118,0.7389
119,0.7848
120,0.8020
121,0.5667
122,0.6729
123,0.6413
124,0.5265
125,0.6155
126,0.5624
127,0.6471
128,0.4993
129,0.6212
130,0.5796
131,0.7044
132,0.6227
133,0.7374
134,0.6471
135,0.5466
136,0.6557
137,0.6557
138,0.7475
139,0.5968
140,0.7001
141,0.6600
142,0.7618
143,0.5925
144,0.7188
145,0.6815
146,0.6055
147,0.6485
148,0.6327
149,0.7963
150,0.6844
151,0.5753
152,0.5868
153,0.7504
154,0.6112
155,0.4605
156,0.6528
157,0.5997
158,0.6944
159,0.5395
160,0.7102
161,0.6858
162,0.6528
163,0.6341
164,0.6786
165,0.6040
166,0.4835
167,0.6729
168,0.5065
169,0.5595
170,0.6198
171,0.6729
172,0.6184
173,0.7159
174,0.6126
175,0.7059
176,0.6341
177,0.5581
178,0.6270
179,0.5595
180,0.7303
181,0.6600
182,0.7647
183,0.6341
184,0.6801
185,0.7805
186,0.6098
187,0.6341
188,0.6829
189,0.7733
190,0.6499
191,0.7131
192,0.6241
193,0.6600
194,0.5753
195,0.7202
196,0.5725
197,0.5308
198,0.6514
199,0.5466
200,0.6657
201,0.5681
202,0.6112
203,0.5768
204,0.7044
205,0.5624
206,0.7231
207,0.6212
208,0.4921
209,0.7102
210,0.5681
211,0.7202
212,0.5538
213,0.7131
214,0.5811
215,0.7963
216,0.6471
217,0.5409
218,0.7461
219,0.5481
220,0.6858
221,0.6112
222,0.8422
223,0.5308
224,0.7288
225,0.5481
226,0.8953
227,0.6184
228,0.5265
229,1.0129
230,0.4993
231,1.2482
232,0.8006
233,1.8494
234,0.8795
235,2.2052
236,1.2267
237,2.5825
238,1.5940
239,1.0344
240,2.4146
241,1.3902
242,2.4290
243,1.7590
244,3.1234
245,2.9440
246,5.0990
247,5.5897
248,6.4448
249,8.8967
250,10.2640
251,13.1621
252,14.3171
253,17.0660
254,17.9154
255,19.2453
256,19.5509
257,20.3271
258,20.6442
259,20.8479
260,21.2582
261,21.3027
262,21.2984
263,21.1392
264,20.7905
265,20.5409
266,19.8278
267,19.3357
268,17.9828
269,17.2310
270,16.2195
271,13.8867
272,12.5524
273,10.0617
274,9.0014
275,7.1334
276,6.2037
277,4.3070
278,3.6155
279,2.9641
280,1.8393
281,1.3458
282,1.0143
283,1.0344
284,1.3257
285,1.5165
286,2.3745
287,2.8938
288,4.2511
289,4.9383
290,5.8852
291,7.9957
292,8.8680
293,11.3013
294,12.5136
295,14.6212
296,15.4017
297,17.0344
298,17.7188
299,18.6298
300,19.0158
301,19.3443
302,19.7088
303,19.7991
304,19.7231
305,19.7518
306,19.3199
307,18.9412
308,17.5151
309,16.9627
310,15.9225
311,13.5868
312,12.7030
313,10.4749
314,9.7374
315,7.6657
316,7.1478
317,5.1377
318,4.5409
319,2.8235
320,2.5366
321,2.6184
322,1.5294
323,2.5366
324,1.8852
325,2.9742
326,1.7575
327,2.9039
328,1.4189
329,2.1205
330,0.7532
331,1.3816
332,1.7418
333,0.6915
334,1.3429
335,0.6169
336,0.9598
337,0.6055
338,1.0014
339,0.4806
340,0.6614
341,0.8709
342,0.5237
343,0.7389
344,0.5079
345,0.7805
346,0.5968
347,0.7432
348,0.5839
349,0.7331
350,0.5179
351,0.5968
352,0.7776
353,0.5495
354,0.6542
355,0.5681
356,0.6887
357,0.5638
358,0.5839
359,0.4849
360,0.7202
361,0.4978
362,0.6643
363,0.7561
364,0.6600
365,0.6198
366,0.5911
367,0.7231
368,0.5667
369,0.6772
370,0.5093
371,0.5854
372,0.6686
373,0.6241
374,0.7461
375,0.5696
376,0.6528
377,0.5782
378,0.5925
379,0.5854
380,0.7174
381,0.5610
382,0.6528
383,0.7977
384,0.6557
385,0.8077
386,0.6341
387,0.6499
388,0.5595
389,0.7704
390,0.6729
391,0.6255
392,0.6528
393,0.6844
394,0.6542
395,0.6428
396,0.7217
397,0.6055
398,0.5968
399,0.4878
400,0.6542
401,0.6141
402,0.5911
403,0.6815
404,0.5983
405,0.6385
406,0.6040
407,0.7102
408,0.6585
409,0.7217
410,0.5983
411,0.7303
412,0.6327
413,0.6643
414,0.7690
415,0.5968
416,0.5911
417,0.6413
418,0.6958
419,0.5022
420,0.6026
421,0.5552
422,0.7016
423,0.5194
424,0.5854
425,0.7202
426,0.6241
427,0.5495
428,0.5667
429,0.8034
430,0.7188
431,0.6341
432,0.5753
433,0.6887
434,0.6055
435,0.5997
436,0.6686
437,0.6485
438,0.7432
439,0.6126
440,0.7446
441,0.6471
442,0.5940
443,0.5136
444,0.6026
445,0.7231
446,0.6399
447,0.7518
448,0.6313
449,0.6714
450,0.5395
451,0.7202
452,0.6227
453,0.6356
454,0.6184
455,0.6901
456,0.6743
457,0.5079
458,0.6743
459,0.6184
460,0.5567
461,0.5423
462,0.5825
463,0.6356
464,0.6714
465,0.7489
466,0.5968
467,0.5380
468,0.5093
469,0.7260
470,0.7288
471,0.6284
472,0.4476
473,0.5380
474,0.5854
475,0.5897
476,0.7618
477,0.7217
478,0.6141
479,0.6298
480,0.8494
481,0.7288
482,0.7604
483,0.7360
484,0.6973
485,0.5610
486,0.5438
487,0.7174
488,0.7217
489,0.7159
490,0.5753
491,0.7188
492,0.6671
493,0.6930
494,0.5796
495,0.7418
496,0.6915
497,0.6040
498,0.7346
499,0.6628
500,0.6542
501,0.5653
502,0.7274
503,0.7360
504,0.7159
505,0.5423
506,0.6958
507,0.6729
508,0.6829
509,0.8479
510,0.6499
511,0.6026
512,0.6055
513,0.6915
514,0.6829
515,0.6643
516,0.6327
517,0.6844
518,0.6356
519,0.6471
520,0.7504
521,0.7661
522,0.7102
523,0.6786
524,0.7747
525,0.7001
526,0.7102
527,0.8149
528,0.7260
529,0.6571
530,0.6528
531,0.6987
532,0.6643
533,0.5868
534,0.5897
535,0.7647
536,0.7016
537,0.6758
538,0.7977
539,0.7274
540,0.6930
541,0.5854
542,0.7245
543,0.7618
544,0.7317
545,0.6413
546,0.8379
547,0.7059
548,0.6858
549,0.7260
550,0.7174
551,0.7547
552,0.6499
553,0.7374
554,0.6801
555,0.6643
556,0.6327
557,0.8178
558,0.7948
559,0.6815
560,0.7891
561,0.6958
562,0.7403
563,0.7001
564,0.8795
565,0.7948
566,0.7059
567,0.5624
568,0.7044
569,0.6155
570,0.6743
571,0.7877
572,0.7561
573,0.6872
574,0.6815
575,0.7489
576,0.8063
577,0.7346
578,0.6758
579,0.7862
580,0.8422
581,0.8077
582,0.9326
583,0.8637
584,0.6657
585,0.4821
