Distance_(pixels),Gray_Value
0,1.7639
1,2.4444
2,2.6389
3,2.0417
4,1.3472
5,1.3750
6,1.8333
7,1.7639
8,1.5139
9,1.4028
10,1.7639
11,1.4583
12,2.0556
13,1.9722
14,1.9306
15,1.9722
16,1.5000
17,1.6667
18,1.8889
19,1.7917
20,1.6806
21,1.5972
22,1.2639
23,1.4167
24,1.4306
25,1.6528
26,1.8194
27,1.5972
28,1.5278
29,1.8611
30,2.2500
31,2.2639
32,1.9583
33,1.7778
34,2.0139
35,2.0000
36,1.9167
37,1.5972
38,0.9722
39,1.1667
40,1.9167
41,2.3472
42,1.7778
43,1.9722
44,1.5556
45,1.4028
46,1.8333
47,2.2222
48,2.1806
49,2.1944
50,1.6806
51,1.0278
52,1.5833
53,1.4028
54,1.5278
55,1.7361
56,1.2500
57,1.3194
58,1.8333
59,1.8750
60,1.5972
61,1.6667
62,1.5833
63,1.4306
64,2.0139
65,2.0833
66,1.4583
67,1.9028
68,1.8472
69,1.2500
70,1.7639
71,2.1250
72,2.3472
73,2.0278
74,1.1389
75,1.6250
76,1.9028
77,1.8889
78,1.7083
79,1.5556
80,1.5556
81,1.7500
82,1.7639
83,2.1250
84,2.1667
85,1.7500
86,1.6389
87,1.7917
88,1.5694
89,1.0972
90,1.5000
91,1.8889
92,0.9583
93,1.0139
94,1.2083
95,1.4861
96,1.2917
97,0.7639
98,1.3194
99,1.1250
100,1.5000
101,1.6528
102,1.7222
103,1.4167
104,1.6944
105,1.1528
106,1.3056
107,1.4167
108,1.1667
109,1.1389
110,1.2500
111,1.5972
112,1.7222
113,1.7500
114,1.0556
115,1.4028
116,1.5000
117,2.0833
118,2.0694
119,1.7083
120,1.1667
121,1.1667
122,2.0417
123,1.9861
124,1.8472
125,1.9306
126,1.3333
127,1.1806
128,1.8889
129,2.0139
130,2.1528
131,2.1806
132,2.1944
133,2.6667
134,2.5556
135,2.4722
136,2.2083
137,1.9583
138,1.9583
139,2.0417
140,3.0000
141,3.4583
142,3.6806
143,3.7222
144,3.5694
145,3.8194
146,4.4028
147,4.5278
148,4.9444
149,5.8333
150,6.0139
151,6.4861
152,6.2639
153,6.1111
154,6.4722
155,6.6667
156,7.4583
157,8.2361
158,8.7500
159,9.5278
160,10.5694
161,11.0833
162,12.9167
163,14.5000
164,15.7361
165,18.2639
166,20.1528
167,20.8472
168,22.3194
169,24.4583
170,26.0556
171,29.1389
172,33.1389
173,35.4306
174,39.6806
175,46.5694
176,51.6250
177,59.8194
178,68.8333
179,74.1389
180,87.7778
181,91.4444
182,93.2778
183,95.5000
184,95.7222
185,95.3333
186,93.1667
187,89.5000
188,87.3889
189,74.4583
190,61.4167
191,55.3472
192,45.8889
193,38.2083
194,35.7083
195,31.7500
196,30.3611
197,28.5833
198,28.6250
199,28.9722
200,29.2778
201,29.0556
202,28.4167
203,28.4583
204,27.9861
205,28.1528
206,28.4444
207,29.5694
208,30.0556
209,32.1528
210,35.5972
211,37.3194
212,40.3194
213,45.4028
214,49.0417
215,56.1389
216,63.6944
217,69.8889
218,84.5000
219,89.8333
220,91.5556
221,94.0556
222,95.0278
223,94.7500
224,93.0000
225,89.2500
226,87.5278
227,73.4167
228,60.3194
229,54.5278
230,43.5694
231,35.0000
232,31.3889
233,27.0833
234,25.2083
235,24.5139
236,23.1528
237,22.4861
238,21.3194
239,20.0556
240,19.0694
241,17.4167
242,16.0833
243,15.1667
244,14.1528
245,14.1667
246,13.5833
247,12.2778
248,11.3333
249,10.7778
250,9.5694
251,8.7222
252,8.5556
253,8.0556
254,7.5833
255,6.6528
256,6.9861
257,7.0694
258,6.9444
259,6.1667
260,5.6944
261,5.4583
262,5.1389
263,4.4028
264,4.4167
265,3.6528
266,2.9444
267,2.5278
268,1.9028
269,1.8889
270,2.1111
271,2.4028
272,1.8472
273,1.8472
274,1.3333
275,1.3611
276,1.8194
277,2.0556
278,1.2361
279,0.9722
280,0.7917
281,1.0972
282,1.2917
283,1.2639
284,1.5972
285,1.6528
286,1.4444
287,1.6389
288,1.5278
289,1.5417
290,1.1250
291,1.6250
292,1.5417
293,1.4167
294,1.0972
295,1.6528
296,1.5972
297,1.0833
298,0.9167
299,1.7222
300,1.8472
301,1.4306
302,1.4722
303,1.5417
304,1.5833
305,1.7778
306,1.6528
307,1.5556
308,1.5556
309,1.5972
310,1.0972
311,1.6528
312,1.6667
313,1.5278
314,1.4444
315,1.3472
316,1.5556
317,1.8056
318,1.6667
319,1.0278
320,1.1389
321,1.3056
322,1.3750
323,1.6111
324,1.4306
325,1.4583
326,1.9583
327,2.1389
328,2.2222
329,1.8333
330,2.3056
