Distance,Gray_Value
0,100.000
1,17.586
2,17.586
3,17.851
4,18.345
5,18.460
6,17.943
7,18.000
8,18.161
9,18.609
10,18.483
11,19.195
12,18.908
13,19.264
14,18.793
15,19.448
16,19.701
17,19.713
18,19.391
19,19.264
20,19.322
21,19.701
22,20.034
23,20.034
24,19.943
25,19.632
26,19.920
27,20.092
28,20.448
29,20.080
30,20.575
31,20.011
32,20.575
33,20.839
34,21.057
35,21.103
36,21.402
37,21.632
38,21.862
39,21.563
40,21.575
41,21.253
42,21.598
43,21.000
44,21.655
45,22.414
46,22.241
47,21.782
48,22.368
49,22.770
50,22.701
51,23.195
52,23.379
53,22.977
54,23.057
55,23.172
56,23.414
57,23.678
58,23.345
59,23.310
60,23.379
61,23.494
62,23.517
63,23.897
64,24.092
65,24.207
66,24.172
67,24.989
68,25.207
69,25.230
70,25.322
71,25.885
72,25.644
73,25.931
74,26.494
75,26.529
76,26.425
77,26.391
78,26.483
79,26.828
80,27.126
81,27.218
82,26.954
83,27.494
84,27.552
85,27.897
86,28.149
87,28.885
88,28.621
89,28.759
90,28.517
91,28.782
92,28.425
93,28.276
94,28.632
95,28.782
96,28.713
97,28.908
98,29.402
99,29.322
100,29.092
101,29.529
102,29.402
103,29.563
104,30.126
105,30.609
106,30.253
107,31.494
108,31.161
109,31.310
110,31.713
111,31.460
112,31.644
113,32.322
114,32.793
115,32.931
116,33.299
117,33.218
118,33.713
119,34.000
120,34.816
121,35.287
122,35.759
123,35.460
124,36.000
125,36.632
126,36.874
127,37.184
128,38.115
129,38.471
130,38.563
131,39.713
132,40.046
133,40.586
134,41.023
135,41.310
136,42.000
137,40.989
138,41.609
139,41.690
140,41.632
141,41.471
142,41.356
143,42.195
144,42.862
145,43.655
146,43.529
147,43.598
148,43.609
149,44.851
150,45.034
151,45.563
152,45.828
153,46.276
154,47.023
155,47.138
156,47.460
157,47.713
158,47.759
159,48.552
160,49.575
161,50.138
162,50.632
163,51.586
164,52.241
165,54.057
166,55.609
167,56.885
168,59.345
169,61.736
170,62.667
171,64.471
172,66.517
173,67.517
174,69.989
175,74.345
176,76.609
177,81.690
178,87.851
179,92.920
180,101.632
181,110.230
182,115.310
183,130.897
184,136.793
185,139.494
186,142.977
187,144.287
188,143.552
189,140.552
190,134.954
191,132.138
192,119.828
193,107.069
194,101.126
195,92.322
196,84.862
197,82.057
198,77.034
199,74.977
200,72.034
201,72.046
202,71.966
203,72.103
204,72.092
205,71.828
206,71.414
207,70.598
208,70.552
209,70.563
210,71.816
211,72.460
212,73.736
213,77.701
214,79.483
215,82.713
216,87.345
217,90.368
218,98.046
219,105.425
